id,app,name,applied
1,contenttypes,0001_initial,2020-11-24 19:35:45.072724
2,contenttypes,0002_remove_content_type_name,2020-11-24 19:35:45.101841
3,auth,0001_initial,2020-11-24 19:35:45.122375
4,auth,0002_alter_permission_name_max_length,2020-11-24 19:35:45.134658
5,auth,0003_alter_user_email_max_length,2020-11-24 19:35:45.145627
6,auth,0004_alter_user_username_opts,2020-11-24 19:35:45.158933
7,auth,0005_alter_user_last_login_null,2020-11-24 19:35:45.166969
8,auth,0006_require_contenttypes_0002,2020-11-24 19:35:45.174129
9,auth,0007_alter_validators_add_error_messages,2020-11-24 19:35:45.196343
10,auth,0008_alter_user_username_max_length,2020-11-24 19:35:45.245625
11,auth,0009_alter_user_last_name_max_length,2020-11-24 19:35:45.279224
12,auth,0010_alter_group_name_max_length,2020-11-24 19:35:45.297882
13,auth,0011_update_proxy_permissions,2020-11-24 19:35:45.313306
14,auth,0012_alter_user_first_name_max_length,2020-11-24 19:35:45.333080
15,auctions,0001_initial,2020-11-24 19:35:45.348768
16,admin,0001_initial,2020-11-24 19:35:45.371600
17,admin,0002_logentry_remove_auto_add,2020-11-24 19:35:45.452709
18,admin,0003_logentry_add_action_flag_choices,2020-11-24 19:35:45.485487
19,sessions,0001_initial,2020-11-24 19:35:45.495171
20,auctions,0002_listing,2020-11-24 20:16:27.151232
21,auctions,0003_listing_item_image,2020-11-25 10:35:11.745319
